specimen,condition,region,position,load,plane,lineOfAction,momentArm,stabilityRatio
S1,split50,ss1,abd0,0N,SP,181.4394116465069,6.932650919096311,0.0251264341108573
S1,split50,ss2,abd0,0N,SP,175.3573952468979,0.9002354510542279,-0.0812075849935518
S1,split50,ss3,abd0,0N,SP,161.76538032280686,-9.416776388467492,-0.3294543709090788
S1,split50,ss4,abd0,0N,SP,154.30760315231606,-10.99125437781825,-0.481110511716895
S1,split50,ss1,abd0,0N,TP,189.11952181104863,29.870416647979887,-0.1605235291667912
S1,split50,ss2,abd0,0N,TP,198.0823079746311,34.894055312401946,-0.326493450178199
S1,split50,ss3,abd0,0N,TP,196.22505715587943,25.955530511256075,-0.2909995534159874
S1,split50,ss4,abd0,0N,TP,193.9374709332893,21.42126294113216,-0.2481679704982752
S1,split50,ss1,abd0,20N,SP,181.44550778264664,6.748728483579859,0.0252341755308952
S1,split50,ss2,abd0,20N,SP,174.83694217399716,1.2636708675055714,-0.0903585144799773
S1,split50,ss3,abd0,20N,SP,162.70703219332546,-9.621789440381376,-0.3113311634358772
S1,split50,ss4,abd0,20N,SP,153.7537783023716,-9.973804923204373,-0.4930728698522947
S1,split50,ss1,abd0,20N,TP,182.87721389817128,26.089519617458148,-0.0502566708604312
S1,split50,ss2,abd0,20N,TP,196.86749313406776,35.21956040768209,-0.3031608601261389
S1,split50,ss3,abd0,20N,TP,194.81626072057108,24.646224664859677,-0.2645150256409371
S1,split50,ss4,abd0,20N,TP,190.00781038263256,18.488476371217345,-0.1764675232291223
S1,split50,ss1,abd0,40N,SP,179.13387133677713,7.025155192273563,-0.0151210212406936
S1,split50,ss2,abd0,40N,SP,175.8637132093142,-1.1129228341078494,-0.0723194458368331
S1,split50,ss3,abd0,40N,SP,162.31467050481066,-10.961071099945752,-0.318859826087365
S1,split50,ss4,abd0,40N,SP,153.64163991676665,-11.67011892416864,-0.4954991161168507
S1,split50,ss1,abd0,40N,TP,186.4803568864894,28.482205243157303,-0.1135883343690739
S1,split50,ss2,abd0,40N,TP,205.12825471730807,38.40085776781597,-0.4690357160210173
S1,split50,ss3,abd0,40N,TP,194.09184814658383,24.037471056734518,-0.2510303134156162
S1,split50,ss4,abd0,40N,TP,190.0184507616441,18.876032923819857,-0.1766589941801223
S1,split50,ss1,abd90,0N,SP,159.7136760531594,18.00580724025331,-0.3696400785767325
S1,split50,ss2,abd90,0N,SP,150.33341250941555,16.707732526975857,-0.569655751714583
S1,split50,ss3,abd90,0N,SP,142.29103019030669,-0.0269956435619091,-0.7731379315578139
S1,split50,ss4,abd90,0N,SP,140.8726891873012,-4.109792567276828,-0.8133847682975363
S1,split50,ss1,abd90,0N,TP,220.9938907478235,36.707933488900906,-0.8691000716890842
S1,split50,ss2,abd90,0N,TP,218.9825486321768,36.23424052410213,-0.809281504018645
S1,split50,ss3,abd90,0N,TP,196.08042849267144,21.71150154116225,-0.2882651602626613
S1,split50,ss4,abd90,0N,TP,194.983847336104,20.82942600120305,-0.2676470573362948
S1,split50,ss1,abd90,20N,SP,159.75391392152775,17.646270393369154,-0.3688492472186266
S1,split50,ss2,abd90,20N,SP,150.22002087953192,15.88624925313997,-0.5722541420841816
S1,split50,ss3,abd90,20N,SP,134.2626246298334,0.0977679251699822,-1.0260674010852946
S1,split50,ss4,abd90,20N,SP,139.40110477343043,-6.560262144495549,-0.8570258915073242
S1,split50,ss1,abd90,20N,TP,219.83414092627825,36.68419677243108,-0.8341785984678436
S1,split50,ss2,abd90,20N,TP,219.83414092627825,36.68419677243108,-0.8341785984678436
S1,split50,ss3,abd90,20N,TP,195.09228164578928,18.871896001212185,-0.2696761950046631
S1,split50,ss4,abd90,20N,TP,194.89819211214527,17.99485589245046,-0.2660456394405945
S1,split50,ss1,abd90,40N,SP,161.24205160254297,16.466691270338025,-0.3396157637971943
S1,split50,ss2,abd90,40N,SP,151.68429153033344,14.37381694799565,-0.5388838306360515
S1,split50,ss3,abd90,40N,SP,142.8541402722095,-5.412587066713071,-0.757553040865791
S1,split50,ss4,abd90,40N,SP,143.98886231259786,-10.567425772404931,-0.726760883027196
S1,split50,ss1,abd90,40N,TP,220.2358742079619,36.3111102057393,-0.8461393476958451
S1,split50,ss2,abd90,40N,TP,221.4233548376205,37.14522410971559,-0.8823432939173997
S1,split50,ss3,abd90,40N,TP,209.60024803444944,24.26434632220328,-0.5680847910759003
S1,split50,ss4,abd90,40N,TP,191.13444968649603,15.833682794652164,-0.1968166774723911
S1,split50,ss1,ABER,0N,SP,143.80177756069563,24.61247017986874,-0.7319746055306872
S1,split50,ss2,ABER,0N,SP,140.13405037817935,23.868251490058817,-0.8351600421879233
S1,split50,ss3,ABER,0N,SP,126.45277432777164,14.00951382165466,-1.3537487647857909
S1,split50,ss4,ABER,0N,SP,125.27789839613868,7.860354829637106,-1.413475874949258
S1,split50,ss1,ABER,0N,TP,179.8311187142216,19.541288313129986,0.0029475430179492
S1,split50,ss2,ABER,0N,TP,190.63880208843136,23.247026779102903,-0.1878459449411871
S1,split50,ss3,ABER,0N,TP,166.26930872172505,19.93196916737025,0.2443438271643868
S1,split50,ss4,ABER,0N,TP,194.88912165732992,30.38561155234005,-0.2658740324482253
S1,split50,ss1,ABER,20N,SP,152.9608468689744,21.902241938414225,-0.5104671064241059
S1,split50,ss2,ABER,20N,SP,136.6851698512891,25.26537693007226,-0.9432556915718894
S1,split50,ss3,ABER,20N,SP,120.50579322245513,13.89448218313658,-1.6972675964670465
S1,split50,ss4,ABER,20N,SP,117.7707282431505,7.224608587532751,-1.8989975333233688
S1,split50,ss1,ABER,20N,TP,184.65790476620552,21.477448645310865,-0.0814753438096839
S1,split50,ss2,ABER,20N,TP,190.9803338844605,22.99767073139521,-0.1940241255995716
S1,split50,ss3,ABER,20N,TP,172.3713065258925,21.4881415223528,0.1339382328801419
S1,split50,ss4,ABER,20N,TP,201.98890524444136,31.21407071795523,-0.4038009941872131
S1,split50,ss1,ABER,40N,SP,142.6528931103025,25.333044975059355,-0.7631033736400136
